lat,lng,elevation,count
37.781587312019084,-122.47311234874188,49.111111111111114,9
37.77383426469579,-122.39858576991415,4.354838709677419,31
37.757350204235586,-122.417521166718,21.142857142857142,14
37.78225789923312,-122.43780404937074,69.0,8
37.7317552774819,-122.3938080054358,20.375,8
37.78522313148888,-122.42692379334127,40.888888888888886,9
37.79445521873239,-122.39647694490081,3.7,20
37.72255940203739,-122.45195222094702,63.25,4
37.72148273688272,-122.48077018016977,35.5,2
37.7361783344973,-122.4544377410843,106.5,4
37.735651135418614,-122.38695944182926,6.0,7
37.77696071654611,-122.4211444856467,20.416666666666668,12
37.802875513688704,-122.43085839640699,8.6,5
37.74412333241461,-122.4253439591049,35.42857142857143,7
37.77409773845659,-122.51013340328012,9.5,2
37.797758292906636,-122.41806020084826,27.0,7
37.75543593582641,-122.3937110901619,9.2,10
37.74348107087345,-122.42956546135731,57.5,6
37.77731958051066,-122.4345740798965,52.5,12
37.77404870566678,-122.45174618400317,88.66666666666667,9
37.778131491790845,-122.49332816999069,58.25,4
37.77566361210033,-122.46031359158457,73.36363636363636,11
37.76660100915726,-122.41475196533851,10.375,24
37.767756271607496,-122.42999867527305,35.0,9
37.785951821480715,-122.40161783126175,11.736842105263158,19
