station_id,lat,lng
BK-A3,37.851375499999975,-122.25252329999996
BK-A7,37.88022244003963,-122.26959228140417
BK-B7,37.87657254910678,-122.26952791213986
BK-C1,37.870407115465405,-122.29967594146729
BK-C5,37.87355800000003,-122.283093
BK-C6,37.871719199999944,-122.27306769999997
BK-C7,37.87367621459821,-122.26848721504211
BK-C8,37.87235550000003,-122.26644670000003
BK-C9,37.875111692864465,-122.26055324077606
BK-D1,37.86624900000005,-122.29937080180166
BK-D10,37.86936027209306,-122.25433736279057
BK-D2,37.86906047545393,-122.29339957237242
BK-D4,37.86996671264538,-122.28653311527202
BK-D5,37.870555320620056,-122.27972029854017
BK-D7-1,37.870139000000044,-122.2684219999997
BK-D7-2,37.86905990000002,-122.27055600000006
BK-E10,37.8664179422031,-122.25379942594866
BK-E3,37.86282708947368,-122.29023055263157
BK-E7,37.865846602857125,-122.26744309928547
BK-E8,37.86778920000003,-122.26589640000016
BK-E9-1,37.868812600000005,-122.2587640000001
BK-E9-2,37.86604309868418,-122.25880439473701
BK-F10,37.86180370491809,-122.253568704918
BK-F2,37.858868199999996,-122.29120949999998
BK-F7,37.860124599116865,-122.2693844139576
BK-F8,37.86246438787882,-122.26479109696989
BK-F9,37.862319899999996,-122.25880099999998
BK-G4,37.855783320301974,-122.28312671184538
BK-G7,37.857567200000055,-122.2675583
BK-G8,37.857490214571506,-122.26157784461977
BK-H10,37.85847319791663,-122.25325290104168
BK-H3,37.85390696712326,-122.28969810622729
BK-H6,37.85247660000003,-122.27021320000017
BK-H8,37.855573661828814,-122.2635653614998
BK-H9,37.85595580000004,-122.25979489999986
BK-I5,37.850577700000024,-122.27817539999985
BK-I6,37.849735,-122.27058200000006
EM-A1,37.84094518800002,-122.2913603759999
EM-A2,37.84192380444446,-122.28804509777783
EM-B0-2,37.83954308266562,-122.2987177222967
EM-B1,37.84052115289075,-122.2935282915921
EM-B2,37.83844350000002,-122.28866470000001
EM-C1,37.84678419666667,-122.29137609833332
EM-C2,37.83618230000001,-122.28718010000009
EM-C3,37.83563220458518,-122.28105068206789
EM-D2,37.82970461666657,-122.28761019166629
EM-D3,37.831275191666684,-122.28563328749999
EM-D4,37.831276899999985,-122.27826689999993
OK-A2,37.85022187734915,-122.26017235875287
OK-A4,37.84815200000002,-122.25215990000002
OK-B2,37.84651559999998,-122.26530430000001
OK-B3,37.8444927,-122.26135100000005
OK-B4,37.84427875628984,-122.25190043043331
OK-C2,37.842629499999994,-122.267738
OK-C3,37.84018579999998,-122.26182249999995
OK-C4,37.8388,-122.25873199999992
OK-D2,37.83964881290322,-122.27175609354836
OK-D3-1,37.84036429999997,-122.26448809999995
OK-D3-2,37.83708515,-122.26582985000002
OK-D4,37.835750000000026,-122.26265400000008
OK-D5,37.83578829,-122.25162070999997
OK-E3,37.833557700000014,-122.26741829999999
OK-E4,37.83327861632655,-122.26349009591844
OK-E5,37.83329352223207,-122.25622415542605
OK-F2-2,37.834174000000004,-122.272968
OK-F3,37.830223191304334,-122.27095009565214
OK-F4,37.82840997305846,-122.26631462574002
OK-G2,37.830545175000005,-122.27393673749997
OK-G3,37.82669560817757,-122.27179705775772
OK-G5,37.82489254075689,-122.26043655653736
OK-H2,37.82384734074073,-122.28119265925936
OK-H3,37.82332139999999,-122.27573250000005
OK-H4-3,37.82254749999997,-122.26631790000006
OK-H5,37.81938138878512,-122.26192838878491
OK-H9-1,37.81274410000002,-122.24721519999994
OK-H9-2,37.81108070000002,-122.2432676999999
OK-I3,37.8178269,-122.27569760000003
OK-I4,37.81701540000001,-122.27176149999997
OK-I5,37.81607311501142,-122.26788640022278
OK-I6,37.812314090358434,-122.26077855126448
OK-I8,37.808893936328,-122.25646018308815
OK-I9,37.808847903555424,-122.24967990355562
OK-J3,37.81605979999999,-122.27824439999998
OK-J4,37.814988230424184,-122.2748440504074
OK-J5,37.81267829999994,-122.2687726000002
OK-J6-1,37.81137680506325,-122.26519251265809
OK-J6-2,37.80781317620592,-122.26449608514179
OK-K17,37.77993,-122.21772839999998
OK-K2,37.81233150000001,-122.28517119999997
OK-K3,37.80982360000001,-122.28019229999998
OK-K4,37.81135139999999,-122.27342169999999
OK-K5-1,37.80870210000001,-122.26992710000009
OK-K5-2,37.80936862485175,-122.26795078067391
OK-K6,37.8069697735372,-122.26658819995114
OK-K7,37.80403678402357,-122.26240932941434
OK-K9,37.80021357704026,-122.25381016342163
OK-L1,37.81074319999998,-122.29141530000008
OK-L10,37.794396,-122.253842
OK-L11,37.7927143,-122.24877960000002
OK-L12,37.790139851853624,-122.24237322807312
OK-L13,37.80045941171395,-122.24745869636536
OK-L14,37.7851915,-122.23438219999998
OK-L16,37.78375690000001,-122.22260329999997
OK-L19,37.77415256430236,-122.21239820122716
OK-L3,37.80874983465997,-122.28328227996825
OK-L4,37.8061628,-122.27604019999995
