station_id1,station_id2,all,all_reverse,classic,classic_reverse,electric,electric_reverse,classic_ratio,electric_ratio,classic_ratio_reverse,electric_ratio_reverse
SF-M26,SF-P22,2,3,0,2,2,1,0.0,1.0,0.6666666666666666,0.3333333333333333
SF-M26,SF-T20,1,1,0,0,1,1,0.0,1.0,0.0,1.0
SF-M26,SF-S21,1,1,1,1,0,0,1.0,0.0,1.0,0.0
SF-M25,SF-M26,3,3,2,3,1,0,0.6666666666666666,0.3333333333333333,1.0,0.0
SF-M25,SF-M26-2,17,13,8,6,9,7,0.47058823529411764,0.5294117647058824,0.46153846153846156,0.5384615384615384
SF-M25,SF-L27,7,8,4,5,3,3,0.5714285714285714,0.42857142857142855,0.625,0.375
SF-M25,SF-K26,34,30,14,14,20,16,0.4117647058823529,0.5882352941176471,0.4666666666666667,0.5333333333333333
SF-M25,SF-J27,10,4,6,3,4,1,0.6,0.4,0.75,0.25
SF-M25,SF-M30,31,14,7,6,24,8,0.22580645161290322,0.7741935483870968,0.42857142857142855,0.5714285714285714
SF-M25,SF-L27-2,4,1,2,1,2,0,0.5,0.5,1.0,0.0
SF-M25,SF-J29-3,2,7,1,5,1,2,0.5,0.5,0.7142857142857143,0.2857142857142857
SF-M25,SF-J29,15,16,5,8,10,8,0.3333333333333333,0.6666666666666666,0.5,0.5
SF-M25,SF-L26,13,17,7,11,6,6,0.5384615384615384,0.46153846153846156,0.6470588235294118,0.35294117647058826
SF-M25,SF-M28,17,13,7,6,10,7,0.4117647058823529,0.5882352941176471,0.46153846153846156,0.5384615384615384
SF-M25,SF-M27,2,2,1,1,1,1,0.5,0.5,0.5,0.5
SF-M25,SF-L25,15,26,3,15,12,11,0.2,0.8,0.5769230769230769,0.4230769230769231
SF-M25,SF-M24,8,13,7,10,1,3,0.875,0.125,0.7692307692307693,0.23076923076923078
SF-M25,SF-L24,26,33,12,21,14,12,0.46153846153846156,0.5384615384615384,0.6363636363636364,0.36363636363636365
SF-M25,SF-N23,4,5,3,3,1,2,0.75,0.25,0.6,0.4
SF-M25,SF-N24-2,8,10,2,6,6,4,0.25,0.75,0.6,0.4
SF-M25,SF-K27-2,42,43,28,34,14,9,0.6666666666666666,0.3333333333333333,0.7906976744186046,0.20930232558139536
SF-M25,SF-J26-2,9,16,4,10,5,6,0.4444444444444444,0.5555555555555556,0.625,0.375
SF-M25,SF-K28-3,2,4,2,2,0,2,1.0,0.0,0.5,0.5
SF-M25,SF-L28,19,11,9,3,10,8,0.47368421052631576,0.5263157894736842,0.2727272727272727,0.7272727272727273
SF-M25,SF-K28,6,3,2,2,4,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
SF-M25,SF-K29-1,8,5,5,2,3,3,0.625,0.375,0.4,0.6
SF-M25,SF-J28-2,8,12,2,8,6,4,0.25,0.75,0.6666666666666666,0.3333333333333333
SF-M25,SF-K27,9,12,5,6,4,6,0.5555555555555556,0.4444444444444444,0.5,0.5
SF-M25,SF-K25,31,34,18,12,13,22,0.5806451612903226,0.41935483870967744,0.35294117647058826,0.6470588235294118
SF-M25,SF-J25,36,37,11,14,25,23,0.3055555555555556,0.6944444444444444,0.3783783783783784,0.6216216216216216
SF-M25,SF-H26-2,3,6,0,1,3,5,0.0,1.0,0.16666666666666666,0.8333333333333334
SF-M25,SF-P24,9,4,2,3,7,1,0.2222222222222222,0.7777777777777778,0.75,0.25
SF-M25,SF-N22-1A,7,10,2,3,5,7,0.2857142857142857,0.7142857142857143,0.3,0.7
SF-M25,SF-J24,28,21,12,8,16,13,0.42857142857142855,0.5714285714285714,0.38095238095238093,0.6190476190476191
SF-M25,SF-O24,5,5,2,2,3,3,0.4,0.6,0.4,0.6
SF-M25,SF-J26,6,5,1,1,5,4,0.16666666666666666,0.8333333333333334,0.2,0.8
SF-M25,SF-I26-,10,10,5,3,5,7,0.5,0.5,0.3,0.7
SF-M25,SF-I25,5,8,3,5,2,3,0.6,0.4,0.625,0.375
SF-M25,SF-K23,5,3,3,1,2,2,0.6,0.4,0.3333333333333333,0.6666666666666666
SF-M25,SF-H26,14,21,5,12,9,9,0.35714285714285715,0.6428571428571429,0.5714285714285714,0.42857142857142855
SF-M25,SF-O23,9,9,6,3,3,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
SF-M25,SF-H27-1,2,2,0,0,2,2,0.0,1.0,0.0,1.0
SF-M25,SF-F28-2,1,3,0,1,1,2,0.0,1.0,0.3333333333333333,0.6666666666666666
SF-M25,SF-G27,13,6,9,5,4,1,0.6923076923076923,0.3076923076923077,0.8333333333333334,0.16666666666666666
SF-M25,SF-M22-2,13,23,3,5,10,18,0.23076923076923078,0.7692307692307693,0.21739130434782608,0.782608695652174
SF-M25,SF-L22,14,14,6,1,8,13,0.42857142857142855,0.5714285714285714,0.07142857142857142,0.9285714285714286
SF-M25,SF-F27,6,6,3,1,3,5,0.5,0.5,0.16666666666666666,0.8333333333333334
SF-M25,SF-N22-2,25,30,13,12,12,18,0.52,0.48,0.4,0.6
SF-M25,SF-M22-1,7,8,1,3,6,5,0.14285714285714285,0.8571428571428571,0.375,0.625
SF-M25,SF-O25-1,6,3,1,0,5,3,0.16666666666666666,0.8333333333333334,0.0,1.0
SF-M25,SF-K22-2,7,12,4,7,3,5,0.5714285714285714,0.42857142857142855,0.5833333333333334,0.4166666666666667
SF-M25,SF-K24,23,30,16,21,7,9,0.6956521739130435,0.30434782608695654,0.7,0.3
SF-M25,SF-J23-2,8,2,6,2,2,0,0.75,0.25,1.0,0.0
SF-M25,SF-G23,6,2,3,0,3,2,0.5,0.5,0.0,1.0
SF-M25,SF-G24,41,15,6,4,35,11,0.14634146341463414,0.8536585365853658,0.26666666666666666,0.7333333333333333
SF-M25,SF-G25,15,5,8,1,7,4,0.5333333333333333,0.4666666666666667,0.2,0.8
SF-M25,SF-F23,6,9,4,1,2,8,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.8888888888888888
SF-M25,SF-E23,8,2,3,0,5,2,0.375,0.625,0.0,1.0
SF-M25,SF-C22,4,3,3,1,1,2,0.75,0.25,0.3333333333333333,0.6666666666666666
SF-M25,SF-B22,2,2,2,1,0,1,1.0,0.0,0.5,0.5
SF-M25,SF-J17,3,8,0,0,3,8,0.0,1.0,0.0,1.0
SF-M25,SF-I19,2,9,1,0,1,9,0.5,0.5,0.0,1.0
SF-M25,SF-I20,6,4,4,2,2,2,0.6666666666666666,0.3333333333333333,0.5,0.5
SF-M25,SF-H20,4,2,1,2,3,0,0.25,0.75,1.0,0.0
SF-M25,SF-H17,1,1,0,0,1,1,0.0,1.0,0.0,1.0
SF-M25,SF-G19,2,3,0,0,2,3,0.0,1.0,0.0,1.0
SF-M25,SF-G18,4,5,2,4,2,1,0.5,0.5,0.8,0.2
SF-M25,SF-G20,1,4,1,1,0,3,1.0,0.0,0.25,0.75
SF-M25,SF-H30,2,4,0,3,2,1,0.0,1.0,0.75,0.25
SF-M25,SF-G30-2,49,14,13,8,36,6,0.2653061224489796,0.7346938775510204,0.5714285714285714,0.42857142857142855
SF-M25,SF-F30-1,1,2,0,1,1,1,0.0,1.0,0.5,0.5
SF-M25,SF-E29-2,3,2,0,0,3,2,0.0,1.0,0.0,1.0
SF-M25,SF-D29,1,1,0,0,1,1,0.0,1.0,0.0,1.0
SF-M25,SF-D28,1,4,0,2,1,2,0.0,1.0,0.5,0.5
SF-M25,SF-G29-2,10,12,5,3,5,9,0.5,0.5,0.25,0.75
SF-M25,SF-G29-1,19,19,16,17,3,2,0.8421052631578947,0.15789473684210525,0.8947368421052632,0.10526315789473684
SF-M25,SF-G30-1,4,4,2,1,2,3,0.5,0.5,0.25,0.75
SF-M25,SF-G29-3,3,2,2,1,1,1,0.6666666666666666,0.3333333333333333,0.5,0.5
SF-M25,SF-F30-2,12,7,9,5,3,2,0.75,0.25,0.7142857142857143,0.2857142857142857
SF-M25,SF-F29,4,1,2,1,2,0,0.5,0.5,1.0,0.0
SF-M25,SF-E28-2,1,1,0,0,1,1,0.0,1.0,0.0,1.0
SF-M25,SF-J12,1,4,0,0,1,4,0.0,1.0,0.0,1.0
SF-M25,SF-I16,1,1,0,0,1,1,0.0,1.0,0.0,1.0
SF-M25,SF-G12,5,2,0,0,5,2,0.0,1.0,0.0,1.0
SF-M25,SF-F16,27,19,18,3,9,16,0.6666666666666666,0.3333333333333333,0.15789473684210525,0.8421052631578947
SF-M25,SF-C25,3,3,0,1,3,2,0.0,1.0,0.3333333333333333,0.6666666666666666
SF-M25,SF-B25,1,2,1,0,0,2,1.0,0.0,0.0,1.0
SF-M25,SF-D27,1,1,0,1,1,0,0.0,1.0,1.0,0.0
SF-M25,SF-H25,2,5,1,1,1,4,0.5,0.5,0.2,0.8
SF-M25,SF-K21,8,13,3,0,5,13,0.375,0.625,0.0,1.0
SF-M25,SF-K22-1,10,19,4,9,6,10,0.4,0.6,0.47368421052631576,0.5263157894736842
SF-M25,SF-J23-1,33,39,15,17,18,22,0.45454545454545453,0.5454545454545454,0.4358974358974359,0.5641025641025641
SF-M25,SF-J22-1,12,14,8,8,4,6,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.42857142857142855
SF-M25,SF-J22-2,10,13,5,6,5,7,0.5,0.5,0.46153846153846156,0.5384615384615384
SF-M25,SF-J21,6,7,3,5,3,2,0.5,0.5,0.7142857142857143,0.2857142857142857
SF-M25,SF-I21,2,1,1,0,1,1,0.5,0.5,0.0,1.0
SF-M25,SF-I22,5,3,1,0,4,3,0.2,0.8,0.0,1.0
SF-M25,SF-I23-2,5,3,1,3,4,0,0.2,0.8,1.0,0.0
SF-M25,SF-I24,8,1,5,1,3,0,0.625,0.375,1.0,0.0
SF-M25,SF-I23-1,4,5,4,4,0,1,1.0,0.0,0.8,0.2
SF-M25,SF-F26,13,9,7,0,6,9,0.5384615384615384,0.46153846153846156,0.0,1.0
SF-M25,SF-M13,2,1,0,0,2,1,0.0,1.0,0.0,1.0
SF-M25,SF-M15,5,6,1,0,4,6,0.2,0.8,0.0,1.0
SF-M25,SF-L19,7,9,2,2,5,7,0.2857142857142857,0.7142857142857143,0.2222222222222222,0.7777777777777778
SF-M25,SF-L20,7,8,3,2,4,6,0.42857142857142855,0.5714285714285714,0.25,0.75
SF-M25,SF-N20-1,13,8,5,3,8,5,0.38461538461538464,0.6153846153846154,0.375,0.625
SF-M25,SF-M20,17,30,4,4,13,26,0.23529411764705882,0.7647058823529411,0.13333333333333333,0.8666666666666667
SF-M25,SF-K17-2,3,5,2,1,1,4,0.6666666666666666,0.3333333333333333,0.2,0.8
SF-M25,SF-K20,13,4,8,0,5,4,0.6153846153846154,0.38461538461538464,0.0,1.0
SF-M25,SF-K15-,5,3,0,1,5,2,0.0,1.0,0.3333333333333333,0.6666666666666666
SF-M25,SF-K19,7,6,2,1,5,5,0.2857142857142857,0.7142857142857143,0.16666666666666666,0.8333333333333334
SF-M25,SF-K18,8,3,2,1,6,2,0.25,0.75,0.3333333333333333,0.6666666666666666
SF-M25,SF-K17,3,3,0,1,3,2,0.0,1.0,0.3333333333333333,0.6666666666666666
SF-M25,SF-J18,1,4,0,0,1,4,0.0,1.0,0.0,1.0
SF-M25,SF-J20,2,6,2,3,0,3,1.0,0.0,0.5,0.5
SF-M25,SF-J19,4,6,2,5,2,1,0.5,0.5,0.8333333333333334,0.16666666666666666
SF-M25,SF-R19,4,8,0,1,4,7,0.0,1.0,0.125,0.875
SF-M25,SF-R20,1,3,0,0,1,3,0.0,1.0,0.0,1.0
SF-M25,SF-Q21-2,5,5,1,0,4,5,0.2,0.8,0.0,1.0
SF-M25,SF-Q21-1,7,4,4,0,3,4,0.5714285714285714,0.42857142857142855,0.0,1.0
SF-M25,SF-P21,13,7,12,0,1,7,0.9230769230769231,0.07692307692307693,0.0,1.0
SF-M25,SF-O18,7,11,3,0,4,11,0.42857142857142855,0.5714285714285714,0.0,1.0
SF-M25,SF-O19,14,19,4,9,10,10,0.2857142857142857,0.7142857142857143,0.47368421052631576,0.5263157894736842
SF-M25,SF-O21,12,26,3,11,9,15,0.25,0.75,0.4230769230769231,0.5769230769230769
SF-M25,SF-O22,20,17,3,6,17,11,0.15,0.85,0.35294117647058826,0.6470588235294118
SF-M25,SF-N21,9,12,6,6,3,6,0.6666666666666666,0.3333333333333333,0.5,0.5
SF-M25,SF-N20-2,3,4,2,1,1,3,0.6666666666666666,0.3333333333333333,0.25,0.75
SF-M25,SF-M21,38,34,8,9,30,25,0.21052631578947367,0.7894736842105263,0.2647058823529412,0.7352941176470589
SF-M25,SF-L21,10,17,3,4,7,13,0.3,0.7,0.23529411764705882,0.7647058823529411
SF-M25,SF-Q30,3,5,3,2,0,3,1.0,0.0,0.4,0.6
SF-M25,SF-P30,7,6,2,5,5,1,0.2857142857142857,0.7142857142857143,0.8333333333333334,0.16666666666666666
SF-M25,SF-O30-2,2,1,1,0,1,1,0.5,0.5,0.0,1.0
SF-M25,SF-O30,17,20,5,9,12,11,0.29411764705882354,0.7058823529411765,0.45,0.55
SF-M25,SF-N27,5,14,1,4,4,10,0.2,0.8,0.2857142857142857,0.7142857142857143
SF-M25,SF-N29,4,1,2,0,2,1,0.5,0.5,0.0,1.0
SF-M25,SF-N28,20,35,15,21,5,14,0.75,0.25,0.6,0.4
SF-M25,SF-L30-1,23,18,15,8,8,10,0.6521739130434783,0.34782608695652173,0.4444444444444444,0.5555555555555556
SF-M25,SF-L31-1,2,3,1,1,1,2,0.5,0.5,0.3333333333333333,0.6666666666666666
SF-M25,SF-K30-2,6,4,4,1,2,3,0.6666666666666666,0.3333333333333333,0.25,0.75
SF-M25,SF-L29,6,10,4,5,2,5,0.6666666666666666,0.3333333333333333,0.5,0.5
SF-M25,SF-J29-1,5,1,3,0,2,1,0.6,0.4,0.0,1.0
SF-M25,SF-I30,14,13,8,9,6,4,0.5714285714285714,0.42857142857142855,0.6923076923076923,0.3076923076923077
SF-M25,SF-I29-2,2,6,1,4,1,2,0.5,0.5,0.6666666666666666,0.3333333333333333
SF-M25,SF-I27,5,2,2,1,3,1,0.4,0.6,0.5,0.5
SF-M25,SF-I30-2,14,1,6,1,8,0,0.42857142857142855,0.5714285714285714,1.0,0.0
SF-M25,SF-H28,12,12,9,7,3,5,0.75,0.25,0.5833333333333334,0.4166666666666667
SF-M25,SF-H29,3,1,3,0,0,1,1.0,0.0,0.0,1.0
SF-M25,SF-S24,9,20,4,2,5,18,0.4444444444444444,0.5555555555555556,0.1,0.9
SF-M25,SF-R24,47,34,13,10,34,24,0.2765957446808511,0.723404255319149,0.29411764705882354,0.7058823529411765
SF-M25,SF-R26,1,4,1,2,0,2,1.0,0.0,0.5,0.5
SF-M25,SF-Q26,5,10,3,3,2,7,0.6,0.4,0.3,0.7
SF-M25,SF-P26,22,8,4,0,18,8,0.18181818181818182,0.8181818181818182,0.0,1.0
SF-M25,SF-O25-2,48,19,42,9,6,10,0.875,0.125,0.47368421052631576,0.5263157894736842
