station_id,label
SF-M26,22
SF-M25,22
SF-M26-2,1
SF-L27,1
SF-K26,1
SF-J27,1
SF-M30,1
SF-L27-2,1
SF-J29-3,1
SF-J29,1
SF-L26,1
SF-M28,1
SF-M27,1
SF-L25,22
SF-M24,22
SF-L24,22
SF-N23,22
SF-N24-2,22
SF-K27-2,1
SF-J26-2,1
SF-K28-3,1
SF-L28,1
SF-K28,1
SF-K29-1,1
SF-J28-2,1
SF-K27,1
SF-K25,22
SF-J25,22
SF-H26-2,24
SF-P24,22
SF-N22-1A,22
SF-J24,22
SF-O24,22
SF-J26,1
SF-I26-,1
SF-I25,24
SF-K23,22
SF-H26,24
SF-O23,22
SF-H27-1,24
SF-F28-2,24
SF-G27,24
SF-M22-2,22
SF-L22,22
SF-F27,24
SF-N22-2,22
SF-G28-2,24
SF-G28-1,24
SF-M22-1,22
SF-O25-1,22
SF-K22-2,11
SF-K24,22
SF-J23-2,11
SF-G23,5
SF-G24,5
SF-G25,5
SF-F23,5
SF-E23,18
SF-D24,3
SF-C22,15
SF-B22,15
SF-J17,3
SF-I19,18
SF-I20,23
SF-H16,19
SF-H19,5
SF-H20,5
SF-H18,18
SF-H17,3
SF-G19,5
SF-G17,18
SF-G18,5
SF-G20,5
SF-F19,18
SF-E18,3
SF-E20,3
SF-H30,6
SF-G30-2,6
SF-F30-1,6
SF-E29-2,6
SF-E29-1,6
SF-D29,6
SF-D28,6
SF-A27,6
SF-G29-2,24
SF-G29-1,24
SF-G30-1,6
SF-G29-3,24
SF-F30-2,6
SF-F29,6
SF-E29-3,6
SF-F28-1,6
SF-E28-2,6
SF-E28,6
SF-J10,21
SF-J12,21
SF-J13,21
SF-J15,19
SF-J14,19
SF-H13,21
SF-I16,19
SF-H12,0
SF-G10-2,0
SF-H15,21
SF-G9,0
SF-H14,21
SF-G13,21
SF-G11,0
SF-G12,0
SF-G10-1,0
SF-F15,21
SF-F16,19
SF-C21,15
SF-C20,12
SF-B21,15
SF-B19,12
SF-A20,12
SF-A19,12
SF-C26,15
SF-C25,15
SF-B25,12
SF-E27,6
SF-B28-2,6
SF-D27,24
SF-C28-2,6
SF-C28-1,6
SF-B28,6
SF-J1,14
SF-H0,14
SF-J3,20
SF-J5,20
SF-G6,20
SF-G8,0
SF-G5,20
SF-G7,0
SF-F9,0
SF-H25,24
SF-G26,24
SF-K21,18
SF-K22-1,11
SF-J23-1,11
SF-J22-1,11
SF-J22-2,11
SF-J21,11
SF-I21,11
SF-I22,11
SF-I23-2,11
SF-I24,11
SF-I23-1,11
SF-F26,15
SF-M13,19
SF-M15,19
SF-L19,18
SF-L20,23
SF-N20-1,23
SF-M20,23
SF-K17-2,19
SF-K20,18
SF-K15-,21
SF-K19,18
SF-K18,3
SF-K17,3
SF-J16,3
SF-J18,18
SF-J20,23
SF-J19,18
SF-O12,9
SF-M12,19
SF-M10,21
SF-M11,21
SF-R19,17
SF-R20,17
SF-Q21-2,17
SF-Q21-1,13
SF-P21,23
SF-O18,18
SF-O19,23
SF-O21,2
SF-O22,2
SF-N21,2
SF-N20-2,23
SF-M21,2
SF-L21,23
SF-S29,16
SF-S30,16
SF Depot,16
SF-Q30,16
SF-P30,16
SF-O30-2,16
SF-O30,16
SF-N27,22
SF-N29,16
SF-N28,1
SF-L30-1,1
SF-L31-1,1
SF-K30-2,1
SF-L29,1
SF-J29-1,1
SF-I30,1
SF-I29-2,1
SF-I27,1
SF-I28,1
SF-I30-2,24
SF I29-1,24
SF-H28,24
SF-H29,24
SF-S24,16
SF-R24,2
SF-R26,16
SF-Q26,2
SF-P26,2
SF-O25-2,22
SF-N22-1B,22
SF-N26,2
SF-N25,2
SF-T21,13
SF-T22,13
SF-S22-2,13
SF-S22-1,2
SF-Q23-3,2
SF-Q22-1,2
SF-Q22-2,2
SF-P22,2
SF-W19,17
SF-W19-2,17
SF-U21,17
SF-T20,13
SF-S21,13
SF-AA28,10
SF-Z28,10
SF-Y29,4
SF-Y30,4
SF-Y27,4
SF-X30,4
SF-X29,4
SF-W29,4
SF-V28,4
SF-V29,10
SF-V30,10
SF-V31,10
SF-V32,10
SF-U30,10
SF-W14,9
SF-Z7,8
SF-Z6,8
SF-W8,7
SF-BB17,7
SF-AA15,7
SF-Z16,7
SF-Y14,9
SF-X14,9
SF-X19,13
SF-Y25,4
