id,name
SF-D28,Davis St at Jackson St
SF-D29,Pier 1/2 at The Embarcadero
SF-E18,Divisadero St at Clay St
SF-E20,Webster St at Clay St
SF-E23,Jackson St at Polk St
SF-E27,Commercial St at Montgomery St
SF-E28,Clay St at Battery St
SF-E28-2,Front St at California St
SF-E29-1,San Francisco Ferry Building (Harry Bridges Plaza)
SF-E29-2,Market St at Steuart St
SF-E29-3,Embarcadero BART Station (Beale St at Market St)
SF-F15,Spruce St at California St
SF-F16,Laurel St at California St
SF-F19,Steiner St at California St
SF-F23,Fern St at Polk St
SF-F26,Union Square (Powell St at Post St)
SF-F27,Post St at Kearny St
SF-F28-1,Mechanics Monument Plaza (Market St at Bush St)
SF-F28-2,Montgomery St BART Station (Market St at 2nd St)
SF-F29,Howard St at Beale St
SF-F30-1,The Embarcadero at Steuart St
SF-F30-2,Spear St at Folsom St
SF-F9,18th Ave at California St
SF-G10-1,Funston Ave at Clement St
SF-G10-2,14th Ave at Geary Blvd
SF-G11,9th Ave at Geary Blvd
SF-G12,7th Ave at Clement St
SF-G13,Arguello Blvd at Geary Blvd
SF-G17,Post St at Baker St
SF-G18,Post St at Divisadero St
SF-G19,Raymond Kimbell Playground
SF-G20,Post St at Webster St
SF-G23,Myrtle St at Polk St
SF-G24,Hyde St at Post St
SF-G25,Jones St at Post St
SF-G26,Cyril Magnin St at Ellis St
SF-G27,Powell St BART Station (Market St at 4th St)
SF-G28-1,Howard St at 2nd St
SF-G28-2,Natoma St at New Montgomery St
SF-G29-1,Salesforce Transit Center (Natoma St at 2nd St)
SF-G29-2,1st St at Folsom St
SF-G29-3,Tehama St at 1st St
SF-G30-1,Beale St at Harrison St
SF-G30-2,The Embarcadero at Bryant St
SF-G5,Clement St at 32nd Ave
SF-G6,28th Ave at Geary Blvd
SF-G7,23rd Ave at Clement St
SF-G8,21st Ave at Geary Blvd
SF-G9,17th Ave at Geary Blvd
SF-H0,Great Hwy at Balboa St
SF-H12,5th Ave at Anza St
SF-H13,Arguello Blvd at Edward St
SF-H14,Stanyan St at Geary Blvd
SF-H15,Anza St at Collins St
SF-H16,O'Farrell St at Masonic Ave
SF-H17,St. Joseph's Ave at Geary Blvd
SF-H18,O'Farrell St at Divisadero St
SF-H19,Ellis St at Pierce St
SF-H20,Webster St at O'Farrell St
SF-H25,Father Alfred E Boeddeker Park
SF-H26,Powell St BART Station (Market St at 5th St)
SF-H26-2,Mint St at Mission St
SF-H27-1,Yerba Buena Center for the Arts (Howard St at 3rd St)
SF-H28,Folsom St at 3rd St
SF-H29,2nd St at Folsom St
SF-H29,Folsom St at 2nd St
SF-H30,The Embarcadero at Pier 38
SF-I16,Masonic Ave at Turk St
SF-I19,Scott St at Golden Gate Ave
SF-I20,Turk St at Fillmore St
SF-I21,Fulton St at Laguna St
SF-I22,Golden Gate Ave at Franklin St
SF-I23-1,Golden Gate Ave at Polk St
SF-I23-2,San Francisco City Hall (Polk St at Grove St)
SF-I24,San Francisco Public Library (Grove St at Hyde St)
SF-I25,Civic Center/UN Plaza BART Station (Market St at McAllister St)
SF-I26-,Howard St at 6th St
SF-I27,Folsom St at 5th St
SF-I28,4th St at Harrison St
SF-I28,Clara St at 4th St
SF-I29-2,S Park St at 3rd St
SF-I30,2nd St at Townsend St
SF-I30-2,Brannan St at Colin P Kelly Jr St
SF-J1,48th Ave at Cabrillo St
SF-J10,Funston Ave at Fulton St
SF-J12,7th Ave at Cabrillo St
SF-J13,McAllister St at Arguello Blvd
SF-J14,Turk Blvd at Stanyan St
SF-J15,Parker Ave at McAllister St
SF-J16,Grove St at Masonic Ave
SF-J17,McAllister St at Baker St
SF-J18,Grove St at Divisadero
SF-J19,Alamo Square (Steiner St at Fulton St)
SF-J20,Webster St at Grove St
SF-J21,Laguna St at Hayes St
SF-J22-1,Octavia Blvd at Page St
SF-J22-2,Grove St at Gough St
SF-J23-1,Market St at 10th St
SF-J23-2,S Van Ness Ave at Market St
SF-J24,8th St at Ringold St
SF-J25,Howard St at 8th St
SF-J26,Victoria Manalo Draves Park
SF-J26-2,Folsom St at 7th St
SF-J27,Bryant St at 6th St
