station_id,lat,lng,elevation
31267,38.90814713815805,-77.03836972423206,22
31298,38.905413701515,-77.0346427856063,22
31250,38.90355169090899,-77.0448223696967,15
31224,38.90372299347251,-77.04243952088042,17
31221,38.90506183616837,-77.0417678345398,17
31285,38.90938645701068,-77.04872255489425,17
31213,38.90274670462042,-77.03861409818444,17
31212,38.90572563824893,-77.04729044637821,18
31239,38.905983932776365,-77.03982926953195,18
31257,38.9009022974479,-77.04888244378056,18
31275,38.901741673224194,-77.05108187814193,18
31237,38.90382840848036,-77.05348051007583,18
31128,38.90529968949744,-77.05026270645801,18
31279,38.898410597222224,-77.04318549074067,18
31242,38.89967159397162,-77.04155363475168,18
31233,38.90206658454095,-77.03835452536246,18
31234,38.9088897804137,-77.04480403102203,25
31201,38.909777937757,-77.03427861851648,25
31200,38.91011010609727,-77.04439066056881,26
31241,38.90589717446062,-77.0325053770988,26
31324,38.91126764377497,-77.04182918795246,26
31278,38.91264576363635,-77.041842982323,26
31211,38.897295936329584,-77.05556134082411,5
31260,38.89610398920384,-77.04986510188901,15
31220,38.89489737599212,-77.04658349702397,12
31274,38.89825273315369,-77.02623292878594,12
31638,38.900365021963886,-77.01211550904401,12
31230,38.89835729590009,-77.02785640285178,12
31292,38.89244025945015,-77.04894524055,6
31270,38.89484333568076,-77.02323644953074,6
31284,38.89351354964538,-77.04153471276601,6
31297,38.8995013037635,-77.05414683870956,12
31255,38.906600398374025,-77.05149398678888,19
31206,38.89519370987656,-77.04361210493826,11
31262,38.89782754347823,-77.02701054166653,11
31304,38.92258019333332,-77.07032548888891,80
31328,38.89830847147135,-77.04644414939935,20
31127,38.89893368582241,-77.04883950824131,20
31100,38.90026614480873,-77.04291419398908,20
31236,38.90775862546128,-77.07164732718316,42
31528,38.938877520833344,-76.99722238888886,48
31272,38.886978,-77.013769,3
31654,38.87621311494245,-77.0124389827585,3
31235,38.89230577246379,-77.04360037971018,5
31271,38.892274758333386,-77.01391026666681,5
31256,38.89591450501253,-77.0260324711778,5
31217,38.88627879681356,-77.02824275761147,8
31636,38.90733675190685,-77.01535885829729,25
31130,38.91420367472619,-77.02217435623699,25
31286,38.9084287299783,-77.027133941558,28
31111,38.91719879213476,-77.0258969731588,28
31327,38.910695019288,-77.03188551038552,28
31229,38.91554916461976,-77.03825359331185,28
31281,38.90863719706366,-77.02277843096414,27
31266,38.90557955982215,-77.02731316568119,27
31223,38.90572568468449,-77.02225885529305,27
31203,38.908594010312754,-77.03231026081131,27
31251,38.90381319017603,-77.02840646431522,27
31280,38.913751653846006,-77.02703793284465,27
31299,38.91264130276564,-77.04564037918502,27
31282,38.912656775000144,-77.03627430961511,27
31519,38.90864358514489,-77.0123646268117,21
31508,38.90508824444443,-76.99412902777773,21
31283,38.90366126279079,-77.03174033410828,21
31503,38.91259186540466,-77.01348779652994,23
31509,38.91267650064086,-77.01764341474393,23
31245,38.91271891441436,-77.02222590465479,24
31505,38.91097042129618,-77.00495244984575,24
31214,38.91209667573709,-77.03868491241451,24
31506,38.91541025102892,-77.01227973816836,26
31109,38.915499215343765,-77.02219953015846,26
31118,38.9176238167737,-77.01596446634639,30
31132,38.91691453444484,-77.02963824880585,30
31120,38.92038707374639,-77.02567127826926,34
31207,38.92490063461537,-77.0222023717948,55
31126,38.925633298268345,-77.02710613246737,48
31115,38.92811666056608,-77.02380031950386,57
31651,38.931340772067024,-77.02823889780377,57
31621,38.895365894736855,-77.01610214473686,11
31655,38.89711653392338,-77.0116293215338,8
31620,38.89722844089829,-77.01933261702128,13
31604,38.899405959105074,-77.01525914120404,13
31232,38.89730118365844,-77.02220980613069,14
31624,38.89742972522518,-77.0098851546545,10
31228,38.89969320370366,-77.02306991520449,14
31265,38.90092550072925,-77.01867770240703,14
31642,38.90240437964183,-77.0159954132361,14
31222,38.89902066165215,-77.03334139481956,14
31263,38.90241847781789,-77.02622445443626,20
31653,38.90266021521743,-77.02139529130442,19
31291,38.901145170515264,-77.03445034944623,19
31254,38.90199753233833,-77.03354253482587,19
31276,38.90368151035775,-77.03492643032003,19
31600,38.90304192027677,-77.01902882701562,17
31712,38.89447219125682,-76.97483356010929,5
31632,38.89717938505748,-76.9835743869733,13
31616,38.90041627094047,-77.00197292393206,13
31611,38.9004418572584,-76.98824484016802,13
31660,38.90271518998415,-76.99515037050925,13
31645,38.90295406545152,-76.9984026459872,13
31658,38.89781558536582,-76.97963315040646,11
31617,38.90042444722222,-76.98287965833332,14
31656,38.90194050165016,-76.97864219636968,27
31525,38.90629436559139,-76.9832158924731,30
31520,38.91263042786068,-76.97193442039806,21
