,station_id,label
0,SF-M26,22
1,SF-M25,22
2,SF-M26-2,1
3,SF-L27,1
4,SF-K26,1
5,SF-J27,1
6,SF-M30,1
7,SF-L27-2,1
8,SF-J29-3,1
9,SF-J29,1
10,SF-L26,1
11,SF-M28,1
12,SF-M27,1
13,SF-L25,22
14,SF-M24,22
15,SF-L24,22
16,SF-N23,22
17,SF-N24-2,22
18,SF-K27-2,1
19,SF-J26-2,1
20,SF-K28-3,1
21,SF-L28,1
22,SF-K28,1
23,SF-K29-1,1
24,SF-J28-2,1
25,SF-K27,1
26,SF-K25,22
27,SF-J25,22
28,SF-H26-2,24
29,SF-P24,22
30,SF-N22-1A,22
31,SF-J24,22
32,SF-O24,22
33,SF-J26,1
34,SF-I26-,1
35,SF-I25,24
36,SF-K23,22
37,SF-H26,24
38,SF-O23,22
39,SF-H27-1,24
40,SF-F28-2,24
41,SF-G27,24
42,SF-M22-2,22
43,SF-L22,22
44,SF-F27,24
45,SF-N22-2,22
46,SF-G28-2,24
47,SF-G28-1,24
48,SF-M22-1,22
49,SF-O25-1,22
50,SF-K22-2,11
51,SF-K24,22
52,SF-J23-2,11
53,SF-G23,5
54,SF-G24,5
55,SF-G25,5
56,SF-F23,5
57,SF-E23,18
58,SF-D24,3
59,SF-C22,15
60,SF-B22,15
61,SF-J17,3
62,SF-I19,18
63,SF-I20,23
64,SF-H16,19
65,SF-H19,5
66,SF-H20,5
67,SF-H18,18
68,SF-H17,3
69,SF-G19,5
70,SF-G17,18
71,SF-G18,5
72,SF-G20,5
73,SF-F19,18
74,SF-E18,3
75,SF-E20,3
76,SF-H30,6
77,SF-G30-2,6
78,SF-F30-1,6
79,SF-E29-2,6
80,SF-E29-1,6
81,SF-D29,6
82,SF-D28,6
83,SF-A27,6
84,SF-G29-2,24
85,SF-G29-1,24
86,SF-G30-1,6
87,SF-G29-3,24
88,SF-F30-2,6
89,SF-F29,6
90,SF-E29-3,6
91,SF-F28-1,6
92,SF-E28-2,6
93,SF-E28,6
94,SF-J10,21
95,SF-J12,21
96,SF-J13,21
97,SF-J15,19
98,SF-J14,19
99,SF-H13,21
100,SF-I16,19
101,SF-H12,0
102,SF-G10-2,0
103,SF-H15,21
104,SF-G9,0
105,SF-H14,21
106,SF-G13,21
107,SF-G11,0
108,SF-G12,0
109,SF-G10-1,0
110,SF-F15,21
111,SF-F16,19
112,SF-C21,15
113,SF-C20,12
114,SF-B21,15
115,SF-B19,12
116,SF-A20,12
117,SF-A19,12
118,SF-C26,15
119,SF-C25,15
120,SF-B25,12
121,SF-E27,6
122,SF-B28-2,6
123,SF-D27,24
124,SF-C28-2,6
125,SF-C28-1,6
126,SF-B28,6
127,SF-J1,14
128,SF-H0,14
129,SF-J3,20
130,SF-J5,20
131,SF-G6,20
132,SF-G8,0
133,SF-G5,20
134,SF-G7,0
135,SF-F9,0
136,SF-H25,24
137,SF-G26,24
138,SF-K21,18
139,SF-K22-1,11
140,SF-J23-1,11
141,SF-J22-1,11
142,SF-J22-2,11
143,SF-J21,11
144,SF-I21,11
145,SF-I22,11
146,SF-I23-2,11
147,SF-I24,11
148,SF-I23-1,11
149,SF-F26,15
150,SF-M13,19
151,SF-M15,19
152,SF-L19,18
153,SF-L20,23
154,SF-N20-1,23
155,SF-M20,23
156,SF-K17-2,19
157,SF-K20,18
158,SF-K15-,21
159,SF-K19,18
160,SF-K18,3
161,SF-K17,3
162,SF-J16,3
163,SF-J18,18
164,SF-J20,23
165,SF-J19,18
166,SF-O12,9
167,SF-M12,19
168,SF-M10,21
169,SF-M11,21
170,SF-R19,17
171,SF-R20,17
172,SF-Q21-2,17
173,SF-Q21-1,13
174,SF-P21,23
175,SF-O18,18
176,SF-O19,23
177,SF-O21,2
178,SF-O22,2
179,SF-N21,2
180,SF-N20-2,23
181,SF-M21,2
182,SF-L21,23
183,SF-S29,16
184,SF-S30,16
185,SF Depot,16
186,SF-Q30,16
187,SF-P30,16
188,SF-O30-2,16
189,SF-O30,16
190,SF-N27,22
191,SF-N29,16
192,SF-N28,1
193,SF-L30-1,1
194,SF-L31-1,1
195,SF-K30-2,1
196,SF-L29,1
197,SF-J29-1,1
198,SF-I30,1
199,SF-I29-2,1
200,SF-I27,1
201,SF-I28,1
202,SF-I30-2,24
203,SF I29-1,24
204,SF-H28,24
205,SF-H29,24
206,SF-S24,16
207,SF-R24,2
208,SF-R26,16
209,SF-Q26,2
210,SF-P26,2
211,SF-O25-2,22
212,SF-N22-1B,22
213,SF-N26,2
214,SF-N25,2
215,SF-T21,13
216,SF-T22,13
217,SF-S22-2,13
218,SF-S22-1,2
219,SF-Q23-3,2
220,SF-Q22-1,2
221,SF-Q22-2,2
222,SF-P22,2
223,SF-W19,17
224,SF-W19-2,17
225,SF-U21,17
226,SF-T20,13
227,SF-S21,13
228,SF-AA28,10
229,SF-Z28,10
230,SF-Y29,4
231,SF-Y30,4
232,SF-Y27,4
233,SF-X30,4
234,SF-X29,4
235,SF-W29,4
236,SF-V28,4
237,SF-V29,10
238,SF-V30,10
239,SF-V31,10
240,SF-V32,10
241,SF-U30,10
242,SF-W14,9
243,SF-Z7,8
244,SF-Z6,8
245,SF-W8,7
246,SF-BB17,7
247,SF-AA15,7
248,SF-Z16,7
249,SF-Y14,9
250,SF-X14,9
251,SF-X19,13
252,SF-Y25,4
