station_id,SF-M26,SF-M25,SF-M26-2,SF-L27,SF-K26,SF-J27,SF-M30,SF-L27-2,SF-J29-3,SF-J29,SF-L26,SF-M28,SF-M27,SF-L25,SF-M24,SF-L24,SF-N23,SF-N24-2,SF-K27-2,SF-J26-2,SF-K28-3,SF-L28,SF-K28,SF-K29-1,SF-J28-2,SF-K27,SF-K25,SF-J25,SF-H26-2,SF-P24,SF-N22-1A,SF-J24,SF-O24,SF-J26,SF-I26-,SF-I25,SF-K23,SF-H26,SF-O23,SF-H27-1,SF-F28-2,SF-G27,SF-M22-2,SF-L22,SF-F27,SF-N22-2,SF-G28-2,SF-G28-1,SF-M22-1,SF-O25-1,SF-K22-2,SF-K24,SF-J23-2,SF-G23,SF-G24,SF-G25,SF-F23,SF-E23,SF-D24,SF-C22,SF-B22,SF-J17,SF-I19,SF-I20,SF-H16,SF-H19,SF-H20,SF-H18,SF-H17,SF-G19,SF-G17,SF-G18,SF-G20,SF-F19,SF-E18,SF-E20,SF-H30,SF-G30-2,SF-F30-1,SF-E29-2,SF-E29-1,SF-D29,SF-D28,SF-A27,SF-G29-2,SF-G29-1,SF-G30-1,SF-G29-3,SF-F30-2,SF-F29,SF-E29-3,SF-F28-1,SF-E28-2,SF-E28,SF-J10,SF-J12,SF-J13,SF-J15,SF-J14,SF-H13,SF-I16,SF-H12,SF-G10-2,SF-H15,SF-G9,SF-H14,SF-G13,SF-G11,SF-G12,SF-G10-1,SF-F15,SF-F16,SF-C21,SF-C20,SF-B21,SF-B19,SF-A20,SF-A19,SF-C26,SF-C25,SF-B25,SF-E27,SF-B28-2,SF-D27,SF-C28-2,SF-C28-1,SF-B28,SF-J1,SF-H0,SF-J3,SF-J5,SF-G6,SF-G8,SF-G5,SF-G7,SF-F9,SF-H25,SF-G26,SF-K21,SF-K22-1,SF-J23-1,SF-J22-1,SF-J22-2,SF-J21,SF-I21,SF-I22,SF-I23-2,SF-I24,SF-I23-1,SF-F26,SF-M13,SF-M15,SF-L19,SF-L20,SF-N20-1,SF-M20,SF-K17-2,SF-K20,SF-K15-,SF-K19,SF-K18,SF-K17,SF-J16,SF-J18,SF-J20,SF-J19,SF-O12,SF-M12,SF-M10,SF-M11,SF-R19,SF-R20,SF-Q21-2,SF-Q21-1,SF-P21,SF-O18,SF-O19,SF-O21,SF-O22,SF-N21,SF-N20-2,SF-M21,SF-L21,SF-S29,SF-S30,SF Depot,SF-Q30,SF-P30,SF-O30-2,SF-O30,SF-N27,SF-N29,SF-N28,SF-L30-1,SF-L31-1,SF-K30-2,SF-L29,SF-J29-1,SF-I30,SF-I29-2,SF-I27,SF-I28,SF-I30-2,SF I29-1,SF-H28,SF-H29,SF-S24,SF-R24,SF-R26,SF-Q26,SF-P26,SF-O25-2,SF-N22-1B,SF-N26,SF-N25,SF-T21,SF-T22,SF-S22-2,SF-S22-1,SF-Q23-3,SF-Q22-1,SF-Q22-2,SF-P22,SF-W19,SF-W19-2,SF-U21,SF-T20,SF-S21,SF-AA28,SF-Z28,SF-Y29,SF-Y30,SF-Y27,SF-X30,SF-X29,SF-W29,SF-V28,SF-V29,SF-V30,SF-V31,SF-V32,SF-U30,SF-W14,SF-Z7,SF-Z6,SF-W8,SF-BB17,SF-AA15,SF-Z16,SF-Y14,SF-X14,SF-X19,SF-Y25
SF-L26,0,6,6,1,9,3,7,1,21,74,66,6,3,14,8,13,6,33,3,3,0,69,6,14,17,1,4,44,3,18,2,2,1,30,1,67,1,19,16,1,1,6,42,15,2,210,0,1,54,3,11,36,13,21,9,1,1,2,4,0,1,1,24,43,3,0,2,0,0,11,2,0,4,1,0,0,2,2,1,1,6,2,2,0,2,11,4,4,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,1,13,91,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,14,36,125,7,5,53,2,6,6,1,4,6,2,1,4,24,85,125,9,24,6,9,12,1,2,9,6,4,0,0,2,3,5,0,17,5,14,69,47,23,121,45,52,207,66,0,0,0,2,8,2,68,24,3,25,55,8,4,50,17,18,0,9,2,2,0,1,3,44,77,2,43,6,4,9,9,12,5,14,0,14,10,32,26,24,4,3,13,10,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1
SF-M28,10,10,16,6,19,3,12,24,6,27,2,239,6,5,9,7,5,5,6,64,0,4,0,9,8,4,1,7,9,2,2,21,6,3,3,11,0,5,7,10,8,9,10,3,5,12,2,1,1,5,2,1,5,9,5,3,8,9,0,4,0,5,8,0,1,0,6,0,0,8,1,2,1,0,0,0,6,41,1,5,8,8,2,0,5,4,3,4,4,2,2,1,3,4,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,4,2,1,1,2,1,1,1,2,0,1,0,2,1,2,0,0,0,2,3,5,2,7,6,5,0,0,3,1,1,12,3,5,7,4,10,37,0,4,3,8,5,2,0,2,0,6,0,1,0,1,3,0,19,4,4,3,3,17,25,10,8,3,4,3,3,0,8,5,4,9,53,1,10,13,1,26,10,7,3,1,4,12,5,1,10,1,2,9,1,4,30,4,21,3,6,1,1,2,1,1,8,6,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
SF-M27,1,1,0,0,0,0,0,1,1,13,2,7,4,3,0,4,0,1,1,4,0,1,0,0,2,0,2,1,2,0,1,2,0,0,0,7,0,1,2,1,0,0,1,2,0,2,0,0,0,0,2,1,0,0,1,0,1,1,0,2,1,0,3,0,0,0,2,0,0,10,0,0,1,0,0,0,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,1,2,1,1,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SF-L25,1,12,6,0,6,3,31,1,3,5,4,4,5,19,3,3,1,3,3,3,2,1,1,6,2,0,6,14,0,2,1,0,1,10,13,9,0,8,4,0,2,11,6,10,3,10,0,0,4,7,9,9,9,3,30,7,12,7,2,12,57,2,6,21,0,0,2,0,0,0,0,0,7,1,1,1,1,3,0,1,5,2,1,1,10,2,4,6,1,0,0,0,0,1,1,1,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,3,0,6,3,6,1,9,2,0,0,0,1,1,0,0,0,0,2,0,2,2,3,7,7,29,6,1,16,0,1,2,4,8,6,2,4,4,6,13,15,0,4,5,9,14,0,3,6,7,4,0,7,1,3,1,0,3,4,4,23,19,8,9,4,2,15,21,0,1,0,1,2,2,2,5,0,3,21,2,4,8,4,7,2,29,13,8,0,18,1,13,4,0,2,1,20,3,3,15,0,1,2,8,8,5,6,8,3,0,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SF-M24,1,1,5,0,4,3,9,0,1,6,8,4,1,3,41,11,3,16,5,8,0,2,1,1,1,0,6,10,2,3,6,5,2,9,3,5,0,13,3,5,3,13,43,13,4,10,0,0,3,2,0,2,3,5,55,11,10,5,1,16,2,1,5,2,1,0,1,0,1,1,0,0,3,1,0,1,2,7,2,1,1,44,1,1,8,1,14,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,0,1,7,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,15,1,5,1,6,1,4,1,0,0,4,1,5,5,3,4,2,6,8,14,0,9,5,3,1,5,3,1,1,0,0,18,1,3,4,3,4,2,4,3,6,12,7,6,8,7,26,0,0,0,2,0,1,5,4,1,5,9,1,2,6,2,5,0,7,1,1,1,3,2,19,16,1,1,16,9,6,7,7,3,4,3,6,9,6,3,4,0,0,2,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SF-L24,0,14,18,4,4,3,0,0,0,3,5,7,3,3,6,19,8,13,7,34,2,3,1,3,0,1,9,18,6,5,2,8,13,11,3,2,1,10,9,7,3,3,9,31,3,35,1,0,11,4,6,6,7,4,9,4,7,2,4,4,1,1,0,1,3,0,2,0,0,1,0,1,3,0,1,1,0,5,3,2,4,9,0,0,13,1,7,3,1,0,0,1,0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,1,0,0,3,0,1,0,3,0,0,0,5,14,1,0,21,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,30,33,8,1,4,2,16,3,5,8,8,4,0,7,5,4,11,2,6,7,2,0,2,5,3,0,2,0,32,16,1,5,3,3,0,4,8,12,16,4,7,6,12,20,0,0,0,3,3,2,12,5,0,4,9,0,2,8,0,1,5,7,3,2,4,9,8,22,22,1,3,8,7,12,1,1,2,7,2,4,7,7,8,7,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
SF-N23,0,1,3,0,4,0,17,0,0,2,20,3,2,2,16,14,15,6,5,7,5,7,2,2,0,1,16,7,4,2,2,6,3,9,6,3,1,5,1,4,7,12,4,3,5,10,2,0,0,0,5,0,1,2,8,2,2,7,4,51,4,1,3,0,3,0,1,0,0,1,0,0,1,1,1,1,2,5,0,5,0,2,2,0,12,1,6,1,3,1,1,0,0,0,1,5,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,5,1,0,2,0,2,2,5,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,2,4,2,5,3,1,3,3,0,0,1,0,1,3,3,8,16,6,8,9,3,8,6,7,3,0,1,6,1,2,1,0,0,1,4,2,3,10,5,15,8,15,5,6,6,8,10,0,0,0,6,1,12,12,14,7,13,16,2,1,1,1,5,0,9,1,0,1,11,1,10,9,1,3,4,6,2,1,7,9,5,3,7,2,5,4,4,1,1,4,4,2,0,0,1,0,0,0,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SF-N24-2,0,6,0,0,3,2,9,1,1,2,3,5,0,3,7,8,8,14,1,6,2,4,0,3,2,0,6,1,0,22,2,6,3,1,1,0,1,4,11,10,2,7,3,5,2,11,0,0,1,3,2,1,6,3,5,4,1,8,1,37,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,4,1,0,0,7,1,5,2,0,0,2,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,6,3,1,4,0,0,2,1,0,1,1,5,24,7,5,4,4,11,7,9,11,3,4,4,0,6,5,7,0,0,2,0,2,5,6,5,8,19,7,8,30,5,13,2,0,0,3,1,0,5,5,5,9,4,0,3,6,1,0,0,2,1,2,0,0,0,12,56,0,9,11,18,11,10,3,0,2,3,3,7,7,3,5,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,12,0,0,0,0,0,0,0,1,0,0
SF-K27-2,2,14,0,3,9,5,21,1,7,11,1,10,0,3,6,3,4,2,40,8,0,11,2,9,17,2,2,9,6,7,0,8,0,2,3,14,0,8,12,9,11,19,9,9,13,21,0,4,15,1,3,4,5,9,14,3,9,8,0,1,0,15,6,1,1,0,7,0,0,5,0,1,5,1,1,1,1,18,0,3,7,4,4,3,5,6,5,2,6,1,0,3,0,4,0,5,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,2,10,4,1,0,5,1,0,2,0,0,0,1,0,2,0,4,0,3,2,13,2,22,18,9,16,1,4,5,1,5,6,1,6,5,22,9,7,1,11,24,1,17,8,2,9,2,17,0,2,2,0,2,2,5,1,0,11,10,10,5,11,6,6,6,3,0,0,5,5,3,9,8,3,12,46,6,1,9,3,3,9,10,4,14,7,3,2,2,17,7,1,9,4,2,2,4,6,8,1,1,3,4,4,8,0,0,0,1,3,2,0,0,0,0,2,0,0,1,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
SF-J26-2,0,5,4,3,5,5,7,6,4,16,9,7,0,2,8,16,1,3,10,130,0,5,3,3,20,4,12,25,32,1,0,9,12,10,6,14,0,16,3,7,18,42,23,3,20,10,2,4,2,26,3,4,4,8,9,4,28,15,1,5,2,3,0,5,1,0,2,1,0,4,2,7,5,3,29,6,0,10,4,7,25,11,2,9,28,26,6,20,6,15,0,6,2,1,2,4,3,0,1,0,0,1,0,0,1,0,1,1,1,0,7,1,0,3,0,1,5,1,6,9,7,29,2,14,1,0,2,0,0,0,0,0,2,0,0,6,11,14,4,7,20,4,7,11,3,15,1,1,1,44,8,1,5,5,2,12,3,12,20,4,1,6,4,1,8,4,0,1,0,2,3,0,0,0,4,4,9,16,13,24,1,2,28,0,1,0,37,6,6,11,3,2,5,34,2,4,13,6,1,2,18,9,7,13,11,6,3,6,0,0,14,29,3,2,7,0,2,3,3,8,6,1,30,2,1,0,3,1,10,0,0,1,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
