label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,-44.756272401433705,-27.96825396825398,19.88888888888888,-28.73611111111112,-8.222222222222236,-45.41111111111112,14.138888888888879,-13.611111111111121,57.38888888888888,-43.11111111111112,-28.694444444444454,-40.51111111111112,-13.68253968253969,-39.61111111111112,-22.11111111111112,-39.911111111111126,8.388888888888879,3.3888888888888786,39.55555555555555,9.138888888888879,24.25252525252524,-38.73611111111112,-14.111111111111121,-37.374269005847964
1,44.756272401433705,0.0,16.788018433179722,64.64516129032258,16.02016129032258,36.53405017921147,-0.6548387096774189,58.895161290322584,31.14516129032258,102.14516129032258,1.645161290322581,16.061827956989248,4.245161290322581,31.07373271889401,5.145161290322581,22.64516129032258,4.84516129032258,53.145161290322584,48.145161290322584,84.31182795698925,53.895161290322584,69.00879765395894,6.020161290322581,30.64516129032258,7.3820033955857385
2,27.96825396825398,-16.788018433179722,0.0,47.85714285714286,-0.7678571428571423,19.746031746031743,-17.442857142857143,42.10714285714286,14.357142857142858,85.35714285714286,-15.142857142857142,-0.7261904761904745,-12.542857142857143,14.285714285714288,-11.642857142857142,5.857142857142858,-11.942857142857143,36.35714285714286,31.357142857142858,67.52380952380953,37.10714285714286,52.22077922077922,-10.767857142857142,13.857142857142858,-9.406015037593985
3,-19.88888888888888,-64.64516129032258,-47.85714285714286,0.0,-48.625,-28.111111111111114,-65.3,-5.75,-33.5,37.5,-63.0,-48.58333333333333,-60.4,-33.57142857142857,-59.5,-42.0,-59.8,-11.5,-16.5,19.66666666666667,-10.75,4.36363636363636,-58.625,-34.0,-57.26315789473684
4,28.73611111111112,-16.02016129032258,0.7678571428571423,48.625,0.0,20.513888888888886,-16.675,42.875,15.125,86.125,-14.375,0.04166666666666785,-11.775,15.05357142857143,-10.875,6.625,-11.175,37.125,32.125,68.29166666666667,37.875,52.98863636363636,-10.0,14.625,-8.638157894736842
5,8.222222222222236,-36.53405017921147,-19.746031746031743,28.111111111111114,-20.513888888888886,0.0,-37.18888888888888,22.361111111111114,-5.388888888888886,65.61111111111111,-34.888888888888886,-20.472222222222218,-32.288888888888884,-5.460317460317455,-31.388888888888886,-13.888888888888886,-31.688888888888886,16.611111111111114,11.611111111111114,47.777777777777786,17.361111111111114,32.474747474747474,-30.513888888888886,-5.888888888888886,-29.152046783625728
6,45.41111111111112,0.6548387096774189,17.442857142857143,65.3,16.675,37.18888888888888,0.0,59.55,31.8,102.8,2.3,16.71666666666667,4.8999999999999995,31.72857142857143,5.8,23.3,5.499999999999999,53.8,48.8,84.96666666666667,54.55,69.66363636363636,6.675,31.3,8.036842105263158
7,-14.138888888888879,-58.895161290322584,-42.10714285714286,5.75,-42.875,-22.361111111111114,-59.55,0.0,-27.75,43.25,-57.25,-42.83333333333333,-54.65,-27.82142857142857,-53.75,-36.25,-54.05,-5.75,-10.75,25.41666666666667,-5.0,10.11363636363636,-52.875,-28.25,-51.51315789473684
8,13.611111111111121,-31.14516129032258,-14.357142857142858,33.5,-15.125,5.388888888888886,-31.8,27.75,0.0,71.0,-29.5,-15.083333333333332,-26.9,-0.0714285714285694,-26.0,-8.5,-26.3,22.0,17.0,53.16666666666667,22.75,37.86363636363636,-25.125,-0.5,-23.763157894736842
9,-57.38888888888888,-102.14516129032258,-85.35714285714286,-37.5,-86.125,-65.61111111111111,-102.8,-43.25,-71.0,0.0,-100.5,-86.08333333333333,-97.9,-71.07142857142857,-97.0,-79.5,-97.3,-49.0,-54.0,-17.83333333333333,-48.25,-33.13636363636364,-96.125,-71.5,-94.76315789473685
10,43.11111111111112,-1.645161290322581,15.142857142857142,63.0,14.375,34.888888888888886,-2.3,57.25,29.5,100.5,0.0,14.416666666666668,2.5999999999999996,29.42857142857143,3.5,21.0,3.1999999999999993,51.5,46.5,82.66666666666667,52.25,67.36363636363636,4.375,29.0,5.7368421052631575
11,28.694444444444454,-16.061827956989248,0.7261904761904745,48.58333333333333,-0.04166666666666785,20.472222222222218,-16.71666666666667,42.83333333333333,15.083333333333332,86.08333333333333,-14.416666666666668,0.0,-11.816666666666668,15.011904761904763,-10.916666666666668,6.583333333333332,-11.216666666666669,37.08333333333333,32.08333333333333,68.25,37.83333333333333,52.94696969696969,-10.041666666666668,14.583333333333332,-8.67982456140351
12,40.51111111111112,-4.245161290322581,12.542857142857143,60.4,11.775,32.288888888888884,-4.8999999999999995,54.65,26.9,97.9,-2.5999999999999996,11.816666666666668,0.0,26.82857142857143,0.9000000000000004,18.4,0.5999999999999996,48.9,43.9,80.06666666666668,49.65,64.76363636363637,1.7750000000000004,26.4,3.136842105263158
13,13.68253968253969,-31.07373271889401,-14.285714285714288,33.57142857142857,-15.05357142857143,5.460317460317455,-31.72857142857143,27.82142857142857,0.0714285714285694,71.07142857142857,-29.42857142857143,-15.011904761904763,-26.82857142857143,0.0,-25.92857142857143,-8.42857142857143,-26.22857142857143,22.07142857142857,17.07142857142857,53.23809523809524,22.82142857142857,37.93506493506493,-25.05357142857143,-0.4285714285714306,-23.691729323308273
14,39.61111111111112,-5.145161290322581,11.642857142857142,59.5,10.875,31.388888888888886,-5.8,53.75,26.0,97.0,-3.5,10.916666666666668,-0.9000000000000004,25.92857142857143,0.0,17.5,-0.3000000000000007,48.0,43.0,79.16666666666667,48.75,63.86363636363636,0.875,25.5,2.2368421052631575
15,22.11111111111112,-22.64516129032258,-5.857142857142858,42.0,-6.625,13.888888888888886,-23.3,36.25,8.5,79.5,-21.0,-6.583333333333332,-18.4,8.42857142857143,-17.5,0.0,-17.8,30.5,25.5,61.66666666666667,31.25,46.36363636363636,-16.625,8.0,-15.263157894736842
16,39.911111111111126,-4.84516129032258,11.942857142857143,59.8,11.175,31.688888888888886,-5.499999999999999,54.05,26.3,97.3,-3.1999999999999993,11.216666666666669,-0.5999999999999996,26.22857142857143,0.3000000000000007,17.8,0.0,48.3,43.3,79.46666666666667,49.05,64.16363636363636,1.1750000000000007,25.8,2.5368421052631582
17,-8.388888888888879,-53.145161290322584,-36.35714285714286,11.5,-37.125,-16.611111111111114,-53.8,5.75,-22.0,49.0,-51.5,-37.08333333333333,-48.9,-22.07142857142857,-48.0,-30.5,-48.3,0.0,-5.0,31.16666666666667,0.75,15.86363636363636,-47.125,-22.5,-45.76315789473684
18,-3.3888888888888786,-48.145161290322584,-31.357142857142858,16.5,-32.125,-11.611111111111114,-48.8,10.75,-17.0,54.0,-46.5,-32.08333333333333,-43.9,-17.07142857142857,-43.0,-25.5,-43.3,5.0,0.0,36.16666666666667,5.75,20.86363636363636,-42.125,-17.5,-40.76315789473684
19,-39.55555555555555,-84.31182795698925,-67.52380952380953,-19.66666666666667,-68.29166666666667,-47.777777777777786,-84.96666666666667,-25.41666666666667,-53.16666666666667,17.83333333333333,-82.66666666666667,-68.25,-80.06666666666668,-53.23809523809524,-79.16666666666667,-61.66666666666667,-79.46666666666667,-31.16666666666667,-36.16666666666667,0.0,-30.41666666666667,-15.303030303030312,-78.29166666666667,-53.66666666666667,-76.9298245614035
20,-9.138888888888879,-53.895161290322584,-37.10714285714286,10.75,-37.875,-17.361111111111114,-54.55,5.0,-22.75,48.25,-52.25,-37.83333333333333,-49.65,-22.82142857142857,-48.75,-31.25,-49.05,-0.75,-5.75,30.41666666666667,0.0,15.11363636363636,-47.875,-23.25,-46.51315789473684
21,-24.25252525252524,-69.00879765395894,-52.22077922077922,-4.36363636363636,-52.98863636363636,-32.474747474747474,-69.66363636363636,-10.11363636363636,-37.86363636363636,33.13636363636364,-67.36363636363636,-52.94696969696969,-64.76363636363637,-37.93506493506493,-63.86363636363636,-46.36363636363636,-64.16363636363636,-15.86363636363636,-20.86363636363636,15.303030303030312,-15.11363636363636,0.0,-62.98863636363636,-38.36363636363636,-61.6267942583732
22,38.73611111111112,-6.020161290322581,10.767857142857142,58.625,10.0,30.513888888888886,-6.675,52.875,25.125,96.125,-4.375,10.041666666666668,-1.7750000000000004,25.05357142857143,-0.875,16.625,-1.1750000000000007,47.125,42.125,78.29166666666667,47.875,62.98863636363636,0.0,24.625,1.3618421052631575
23,14.111111111111121,-30.64516129032258,-13.857142857142858,34.0,-14.625,5.888888888888886,-31.3,28.25,0.5,71.5,-29.0,-14.583333333333332,-26.4,0.4285714285714306,-25.5,-8.0,-25.8,22.5,17.5,53.66666666666667,23.25,38.36363636363636,-24.625,0.0,-23.263157894736842
24,37.374269005847964,-7.3820033955857385,9.406015037593985,57.26315789473684,8.638157894736842,29.152046783625728,-8.036842105263158,51.51315789473684,23.763157894736842,94.76315789473685,-5.7368421052631575,8.67982456140351,-3.136842105263158,23.691729323308273,-2.2368421052631575,15.263157894736842,-2.5368421052631582,45.76315789473684,40.76315789473684,76.9298245614035,46.51315789473684,61.6267942583732,-1.3618421052631575,23.263157894736842,0.0
