label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,6621.715145341435,5588.090515179827,3111.2663254296976,8912.340488058313,4088.7206954926264,6899.84343080467,6811.832574923812,6705.16275079449,5301.874424492067,9144.93944183382,4606.822167212686,4408.416316283549,5916.677986334937,3365.708408318186,5170.657704346356,7574.120323198257,5710.703559910015,3427.9088903348497,2059.8859230299304,1821.7383112166128,1305.2132289663975,5403.983325147475,4096.829761285078,6316.53575959584
1,6621.715145341435,0.0,2476.0993399064114,3579.263979938014,4689.363414136319,2798.2243541171265,2296.2953999759006,7383.045904802984,9285.780845735826,6457.030206588035,4360.103447639184,2017.4827829225724,4297.796799856384,4053.934308374549,9827.541534893833,3161.304300963675,2086.7506655950006,4336.164739361516,3194.0627945844444,4683.566932951595,8360.323936877288,5442.036924123651,1635.0154509931435,2848.6694899713398,1371.2228743734584
2,5588.090515179827,2476.0993399064114,0.0,3291.8577908950115,3526.801754543051,3202.6711365677506,4516.435354195412,4911.328961138204,6850.396808533294,4013.4643967014795,3613.246075491802,2199.8993399293176,5187.760987165883,1621.891744147647,8369.209369014467,4485.236941304757,2108.9266780361813,1869.8435692588905,2677.71940520527,3539.6294067263766,7066.30923597102,4283.448103742302,1055.3612748055343,1594.6166549817103,3470.0173263471765
3,3111.2663254296976,3579.263979938014,3291.8577908950115,0.0,6815.52622106681,1013.3728150120636,3883.858561281977,6742.332622610229,7735.628436273606,5320.347378476242,6843.501040506587,1581.0078495746066,2368.7639484998385,4372.708445872947,6436.000687376639,2446.2796831175483,4894.4120510802995,4364.710040363021,617.5717689457795,1529.3167705391634,4912.7358020157735,2113.7504223270216,2672.9213740354685,1750.3078156466554,3213.8788618122803
4,8912.340488058313,4689.363414136319,3526.801754543051,6815.52622106681,0.0,6613.161416775133,6963.1642316755515,5226.442819938085,7750.689319819396,5366.938499355467,742.5787412217298,5565.789435972339,8542.168817611575,3100.1963877225044,11277.26008630621,7631.112835894971,2628.368756049959,3409.954651666066,6203.377506119871,6935.830788337122,10169.0862329385,7622.335955352707,4285.468824486418,5112.665455958965,6054.617349138771
5,4088.7206954926264,2798.2243541171265,3202.6711365677506,1013.3728150120636,6613.161416775133,0.0,2870.92930229396,7296.5126471839185,8518.702884117605,5959.068130544577,6532.562335617141,1048.907470090017,1989.6956540315573,4563.873473028241,7433.597239539909,1595.3840072324504,4415.132987288886,4638.879106105071,1106.2216571357983,2513.9659521865183,5902.426773089496,3126.947796776227,2328.520041550701,1957.5204531609468,2230.607508874613
6,6899.84343080467,2296.2953999759006,4516.435354195412,3883.858561281977,6963.1642316755515,2870.92930229396,0.0,9358.159639653839,10989.719832464074,8241.3692190043,6580.439224223209,2914.089297632499,3168.992831549982,6138.170626121772,10263.700471282882,1935.9772070004472,4337.686553750011,6364.675316295056,3857.355263520413,5369.68760798808,8721.574738374862,5997.603600030803,3485.6604461862203,4183.5362323208565,1046.8188595613822
7,6811.832574923812,7383.045904802984,4911.328961138204,6742.332622610229,5226.442819938085,7296.5126471839185,9358.159639653839,0.0,2543.4855364496207,1527.381613919076,5910.799639469974,6620.446843655864,9106.152228631081,3351.092124101653,7682.092650644224,8864.687671661102,6298.296899278863,3047.3827813749476,6267.918543562847,5714.915178279212,7165.28191802493,5940.01372404118,5885.983365848189,5376.691951974528,8317.532401452054
8,6705.16275079449,9285.780845735826,6850.396808533294,7735.628436273606,7750.689319819396,8518.702884117605,10989.719832464074,2543.4855364496207,0.0,2837.0802602769563,8418.093509921584,8095.029402240094,10047.61243920656,5494.185669766182,6387.532996021639,10109.80963286257,8549.108205725528,5131.788274655914,7415.084740368435,6370.4948336772795,6384.205317590196,6278.062508722984,7676.855706630596,6811.91135846922,9992.847328760758
9,5301.874424492067,6457.030206588035,4013.4643967014795,5320.347378476242,5366.938499355467,5959.068130544577,8241.3692190043,1527.381613919076,2837.0802602769563,0.0,5948.263347705418,5394.154503008787,7688.845583578408,2711.7535958133462,6465.5279498175005,7549.1105096368065,5763.15076492193,2337.3294380150187,4890.3449583583815,4209.989403581006,5781.648982254531,4413.027237445409,4861.47310566996,4113.747291081765,7223.729190566528
