label,0,1,2,3,4,5,6,7,8
0,19597,6488,6414,118,2067,5454,4471,73,8016
1,4730,67055,25781,348,1388,37770,632,152,11310
2,5890,27521,24270,375,827,18591,1136,113,11645
3,100,279,372,918,84,213,7,168,171
4,1303,1332,586,61,2956,996,495,3,709
5,3307,36998,16886,173,952,90033,815,47,8316
6,3848,704,1138,18,704,950,4997,14,1465
7,78,172,145,229,16,82,26,344,174
8,8213,15944,13397,238,1090,11594,1708,113,14328
