label,0,1,2,3,4,5,6,7,8
0,10884,4254,4340,91,973,3528,2553,48,5303
1,3964,31177,16306,241,822,18750,544,145,8946
2,4750,15186,13578,285,586,10526,896,102,8741
3,90,197,255,380,45,95,7,134,156
4,871,873,426,23,1269,618,353,1,447
5,2884,19034,10995,107,538,33986,699,43,6783
6,2450,538,816,12,289,780,2354,14,1120
7,40,127,101,125,14,70,10,170,153
8,5880,9415,8079,190,519,7779,1202,107,9171
