label,0,1,2,3,4,5,6,7,8
0,8713,2234,2074,27,1094,1926,1918,25,2713
1,766,35878,9475,107,566,19020,88,7,2364
2,1140,12335,10692,90,241,8065,240,11,2904
3,10,82,117,538,39,118,0,34,15
4,432,459,160,38,1687,378,142,2,262
5,423,17964,5891,66,414,56047,116,4,1533
6,1398,166,322,6,415,170,2643,0,345
7,38,45,44,104,2,12,16,174,21
8,2333,6529,5318,48,571,3815,506,6,5157
