label,0,1,2,3,4,5,6,7,8
0,0.0,4028.376034722111,2548.100207574672,5649.906768271209,6012.579703425685,4787.701373155532,2378.3240115376425,4487.019530005322,1728.2190758142995
1,4028.376034722111,0.0,1481.3185552268912,5925.6583070410015,3110.5311396220354,2521.7247184863745,6400.663488497936,5260.619833233302,2326.3436951539543
2,2548.100207574672,1481.3185552268912,0.0,5448.978172709243,3922.434915859812,2983.1967063408006,4919.356817949845,4554.900480702301,877.64446007672
3,5649.906768271209,5925.6583070410015,5448.978172709243,0.0,4493.18147172969,8304.873607289019,6552.279124901441,1187.4939082026303,5641.56151562878
4,6012.579703425685,3110.5311396220354,3922.434915859812,4493.18147172969,0.0,5499.357377007404,8105.9230482379,4486.356755542996,4718.944656564892
5,4787.701373155532,2521.7247184863745,2983.1967063408006,8304.873607289019,5499.357377007404,0.0,6995.436347486665,7499.510428460465,3288.83647524984
6,2378.3240115376425,6400.663488497936,4919.356817949845,6552.279124901441,8105.9230482379,6995.436347486665,0.0,5388.749859801403,4105.653895474006
7,4487.019530005322,5260.619833233302,4554.900480702301,1187.4939082026303,4486.356755542996,7499.510428460465,5388.749859801403,0.0,4626.805232841188
8,1728.2190758142995,2326.3436951539543,877.64446007672,5641.56151562878,4718.944656564892,3288.83647524984,4105.653895474006,4626.805232841188,0.0
