label,0,1,2,3,4,5,6,7,8
0,11630,144,73,1,2671,1394,0,763,27
1,107,1189,1,5,457,4,2,935,0
2,198,0,271,0,17,337,0,20,36
3,0,7,0,31,2,0,1,3,0
4,2107,411,11,0,3978,131,1,1003,2
5,3181,23,218,0,361,2654,0,339,46
6,0,9,0,3,1,0,51,1,0
7,724,950,14,4,989,199,0,3284,1
8,143,0,157,0,7,139,0,8,366
