start_lng,start_lat,end_lat,end_lng,displacement,duration,velocity,count
-122.51120953566225,37.77526658733628,37.75886599389176,-122.41255837434545,8880.674584043982,2033.0000000000002,4.368260985757,1
-122.51120953566225,37.77526658733628,37.76107371861353,-122.43251084036089,7110.693378797506,1660.0,4.2835502281912685,1
-122.51120953566225,37.77526658733628,37.761406315546864,-122.4265239971019,7618.415249130291,1815.0,4.1974739664629706,1
-122.51120953566225,37.77526658733628,37.76399151345739,-122.47065551281372,3785.8904192882965,1899.5,2.1937733870557556,2
-122.51120953566225,37.77526658733628,37.764215864620915,-122.46738788086647,4051.107953182632,1326.5,3.2089444831973397,2
-122.51120953566225,37.77526658733628,37.76579640081468,-122.45758892282772,4839.788141109317,1605.0,3.043097734434186,2
-122.51120953566225,37.77526658733628,37.76593774309392,-122.44925288305697,5556.046879315864,1193.0,4.809069057301414,2
-122.51120953566225,37.77526658733628,37.766250016266746,-122.43109765146673,7128.865695186541,1614.0,4.416893243610001,1
-122.51120953566225,37.77526658733628,37.771953886961555,-122.45370257177098,5079.79039957385,1674.375,3.3135543997361614,8
-122.51120953566225,37.77526658733628,37.77236879940353,-122.43585239821053,6646.865849670539,1884.0000000000002,3.528060429761432,1
-122.51120953566225,37.77526658733628,37.772928889576896,-122.50905727089801,321.36798096242,1239.5,1.7071184822142969,2
-122.51120953566225,37.77526658733628,37.773108856268436,-122.43911952809759,6355.7226093379,1460.0,4.353234663930069,1
-122.51120953566225,37.77526658733628,37.77338888148442,-122.47127448290922,3524.482731950148,851.0,4.14286496360318,2
-122.51120953566225,37.77526658733628,37.773619319663524,-122.44259774710847,6047.517593365885,1185.25,5.1112835412632895,4
-122.51120953566225,37.77526658733628,37.774120534359284,-122.423840716156,7698.287420135988,1766.0,4.359166149567377,1
-122.51120953566225,37.77526658733628,37.77476755924489,-122.41906629166692,8118.019147275914,1486.0,5.4630007720564695,1
-122.51120953566225,37.77526658733628,37.774819351918524,-122.44662584232641,5690.045332575534,1164.0,4.888355096714377,1
-122.51120953566225,37.77526658733628,37.775119846738306,-122.46498940303863,4072.021933204628,791.0,5.228868472433262,7
-122.51120953566225,37.77526658733628,37.77532893966812,-122.45809451432896,4679.426924309997,1292.5,3.622207535808286,2
-122.51120953566225,37.77526658733628,37.77550077635324,-122.49846730911696,1122.8869892222901,319.0,3.520021909787743,1
-122.51120953566225,37.77526658733628,37.77568337864079,-122.49407637216842,1510.13311320694,284.0,5.3173701169258445,1
-122.51120953566225,37.77526658733628,37.776141375880364,-122.4531084371151,5119.586902511205,1194.75,4.287304479674114,4
-122.51120953566225,37.77526658733628,37.776240317982484,-122.42621581396179,7488.6621680871185,2093.0,3.577956124265226,1
-122.51120953566225,37.77526658733628,37.77680420811821,-122.41742761093798,8263.847263657575,1768.0,4.674121755462429,1
-122.51120953566225,37.77526658733628,37.777392150101065,-122.44193795080815,6107.285122817791,1210.0,5.0917502613873244,2
-122.51120953566225,37.77526658733628,37.77762589338728,-122.43321177413013,6876.467269117823,2330.0,2.9512735060591515,1
-122.51120953566225,37.77526658733628,37.77858086224585,-122.45864889813151,4645.068210516277,1304.3333333333333,4.2872089901116714,3
-122.51120953566225,37.77526658733628,37.778734269503616,-122.41819229609915,8203.644079769178,2030.0000000000002,4.0412039801818604,1
-122.51120953566225,37.77526658733628,37.77909373683129,-122.43695441090546,6555.471490147436,1511.0,4.338498669852704,1
-122.51120953566225,37.77526658733628,37.77954506811381,-122.46315432679025,4260.083678520054,1517.0,2.90398066919246,3
-122.51120953566225,37.77526658733628,37.77962243915344,-122.48793993121699,2106.226324561547,2051.0,1.0269265356224022,1
-122.51120953566225,37.77526658733628,37.780017328638515,-122.48042927699537,2762.4406055478707,890.0,3.103865848930192,1
-122.51120953566225,37.77526658733628,37.780753507365326,-122.47615142737013,3147.9697221079937,709.0,4.440013712423122,1
-122.51120953566225,37.77526658733628,37.78150647013725,-122.45878625215036,4669.930057198642,792.0,5.896376334846771,1
-122.51120953566225,37.77526658733628,37.78171937301589,-122.49282906746038,1770.5683232544736,1479.0,1.2870942857882621,2
-122.51120953566225,37.77526658733628,37.78176966951307,-122.4676247785399,3906.894814135356,1341.0,2.9134189516296463,1
-122.51120953566225,37.77526658733628,37.78194203724396,-122.48277552886411,2612.1988928738674,1132.3333333333333,3.0705195394855274,3
-122.51120953566225,37.77526658733628,37.782004701659666,-122.43566093506102,6697.403564028917,1430.0,4.683498995824417,1
-122.51120953566225,37.77526658733628,37.78244018381149,-122.47196284879283,3547.954230735053,1406.0,2.5234382864402938,1
-122.51120953566225,37.77526658733628,37.78376956173372,-122.43454434209924,6819.42400880958,1947.5000000000002,3.5016300171054127,2
-122.51120953566225,37.77526658733628,37.78398122172621,-122.44281817113092,6102.0623675888955,1512.3333333333333,4.522403163286537,3
-122.51120953566225,37.77526658733628,37.794136284311335,-122.42163957511839,8163.336778319774,1874.0000000000002,4.356102869967861,1
-122.50905727089801,37.772928889576896,37.75243749152702,-122.42065846871454,8114.495510265416,1876.0000000000002,4.325424045983697,1
-122.50905727089801,37.772928889576896,37.756697597646976,-122.42110590539228,7956.236932218997,2095.0,3.7977264592930773,1
-122.50905727089801,37.772928889576896,37.75886599389176,-122.41255837434545,8644.689279801947,2057.6666666666665,4.201974775265616,3
-122.50905727089801,37.772928889576896,37.76107371861353,-122.43251084036089,6871.636045485993,1809.0,3.798582667488111,1
-122.50905727089801,37.772928889576896,37.7635212360003,-122.46409991410795,4096.425177074852,1189.5,3.712412875425602,4
